"row","productCode","error"
"Motorola G57 (row 2)","85756-03","productCode 85756-03 already exists on this product. To add a new variant, use 85756-05."
"E-Print (row 5)","83478-01","productCode 83478-01 already exists on this product. To add a new variant, use 83478-02."
"Motorola G57 (row 3)","85756-04","productCode 85756-04 already exists on this product. To add a new variant, use 85756-05."
"Adidas Shoes (row 4)","87856","productCode 87856 already exists on this product. To add a new variant, use 87856-02."
